congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
1,House,379,44,2.0,GA,4000,0.0,1.0,"BALDWIN, Abraham",B000084,1754.0,1807.0,-0.165,-0.373,-28.550290000000004,0.758,103.0,12.0,,-0.429,-0.8170000000000001,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,81.6440366972477,109.0
1,House,4854,44,1.0,GA,4000,0.0,1.0,"JACKSON, James",J000017,1757.0,1806.0,-0.32,-0.18100000000000002,-24.89986,0.7759999999999999,98.0,9.0,,-0.5589999999999999,-0.052000000000000005,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,85.02129629629626,109.0
1,House,6071,44,3.0,GA,4000,0.0,1.0,"MATHEWS, George",M000234,1739.0,1812.0,-0.428,-0.317,-12.62728,0.88,99.0,2.0,,-0.413,-0.23199999999999998,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,89.11651376146791,109.0
1,House,1538,52,6.0,MD,5000,0.0,1.0,"CARROLL, Daniel",C000187,1730.0,1796.0,0.11599999999999999,-0.74,-23.47008,0.7829999999999999,96.0,11.0,,0.114,-0.779,Pro-Administration,31,0.5760000000000001,0.004,0.5131612903225807,-0.00948387096774193,80.27798165137614,109.0
1,House,2010,52,3.0,MD,4000,0.0,1.0,"CONTEE, Benjamin",C000710,1755.0,1815.0,-0.08,-0.387,-21.88695,0.7879999999999999,92.0,13.0,,-0.09300000000000001,-0.41100000000000003,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,81.09449541284403,109.0
1,House,3430,52,5.0,MD,5000,0.0,1.0,"GALE, George",G000012,1756.0,1815.0,0.254,-0.9670000000000001,-24.12829,0.774,94.0,10.0,,0.273,-0.9620000000000001,Pro-Administration,31,0.5760000000000001,0.004,0.5131612903225807,-0.00948387096774193,81.47431192660551,109.0
1,House,8363,52,2.0,MD,4000,0.0,1.0,"SENEY, Joshua",S000242,1756.0,1798.0,0.221,0.27,-58.65501,0.575,106.0,34.0,,0.27899999999999997,0.309,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,62.282568807339445,109.0
1,House,8693,52,4.0,MD,4000,0.0,1.0,"SMITH, William",S000624,1728.0,1814.0,0.39299999999999996,0.27899999999999997,-55.83761,0.5820000000000001,103.0,30.0,,0.391,0.285,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,62.63119266055047,109.0
1,House,8983,52,1.0,MD,4000,0.0,1.0,"STONE, Michael Jenifer",S000961,1747.0,1812.0,0.036000000000000004,0.1,-39.883390000000006,0.6629999999999999,97.0,20.0,,0.039,0.12,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,74.60366972477065,109.0
1,House,154,3,1.0,MA,5000,0.0,1.0,"AMES, Fisher",A000174,1758.0,1808.0,0.857,0.223,-25.60902,0.78,103.0,10.0,,0.892,0.172,Pro-Administration,31,0.5760000000000001,0.004,0.5131612903225807,-0.00948387096774193,81.84166666666667,109.0
1,House,3541,3,3.0,MA,4000,0.0,1.0,"GERRY, Elbridge",G000139,1744.0,1814.0,0.528,0.8490000000000001,-37.08408,0.69,100.0,16.0,,0.57,0.821,Anti-Administration,29,0.018000000000000002,0.092,-0.0243793103448276,0.14193103448275854,74.98440366972478,109.0
1,House,3674,3,2.0,MA,5000,0.0,1.0,"GOODHUE, Benjamin",G000286,1748.0,1814.0,0.779,0.057,-30.52357,0.725,95.0,18.0,,0.748,0.155,Pro-Administration,31,0.5760000000000001,0.004,0.5131612903225807,-0.00948387096774193,75.7299065420561,109.0
