congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
117,House,20301,41,3.0,AL,200,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.377,0.384,-85.84145,0.89933,809.0,31.0,,0.419,0.537,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,93.97059523809514,996.0
117,House,21102,41,7.0,AL,100,,,"SEWELL, Terri",S001185,1965.0,,-0.39799999999999996,0.4,-22.37029,0.9732799999999999,826.0,9.0,,-0.49200000000000005,0.475,Democrat,232,-0.38299999999999995,-0.03,-0.3799094827586208,-0.0277844827586207,98.28857142857142,996.0
117,House,21193,41,5.0,AL,200,,,"BROOKS, Mo",B001274,1954.0,,0.652,-0.41700000000000004,-168.03035,0.8141,817.0,80.0,,0.6970000000000001,-0.28800000000000003,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,86.48761904761919,996.0
117,House,21500,41,6.0,AL,200,,,"PALMER, Gary James",P000609,1954.0,,0.679,0.102,-112.99265,0.87287,831.0,51.0,,0.648,0.245,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,90.77702380952388,996.0
117,House,22108,41,1.0,AL,200,,,"CARL, Jerry L.",C001054,1958.0,,0.5479999999999999,0.275,-77.67671,0.91117,835.0,30.0,,0.51,0.568,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,93.8032142857143,996.0
117,House,22140,41,2.0,AL,200,,,"MOORE, Barry",M001212,1966.0,,0.645,-0.171,-148.12209,0.83565,825.0,79.0,,0.633,-0.132,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,87.91214285714283,996.0
117,House,29701,41,4.0,AL,200,,,"ADERHOLT, Robert",A000055,1965.0,,0.40299999999999997,0.479,-128.8567,0.85588,828.0,55.0,,0.541,0.365,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,92.65797619047626,996.0
117,House,14066,81,1.0,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933.0,2022.0,0.28300000000000003,0.022000000000000002,-83.13235,0.81484,406.0,33.0,,0.255,0.047,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,88.79213483146088,529.0
117,House,22168,81,1.0,AK,100,,,"PELTOLA, Mary Sattler",P000619,1973.0,,-0.16,0.40700000000000003,-4.91656,0.9577899999999999,114.0,1.0,,-0.627,-0.363,Democrat,232,-0.38299999999999995,-0.03,-0.3799094827586208,-0.0277844827586207,98.38434782608688,129.0
117,House,21995,93,0.0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947.0,,0.336,0.20800000000000002,,,,,,,,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,87.56428571428572,14.0
117,House,20305,61,3.0,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948.0,,-0.598,-0.264,-11.353639999999999,0.9863200000000001,824.0,3.0,,-0.527,-0.305,Democrat,232,-0.38299999999999995,-0.03,-0.3799094827586208,-0.0277844827586207,98.9486904761904,996.0
117,House,20902,61,2.0,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950.0,,-0.16899999999999998,-0.01,-30.95096,0.9637399999999999,838.0,14.0,,-0.423,0.14400000000000002,Democrat,232,-0.38299999999999995,-0.03,-0.3799094827586208,-0.0277844827586207,97.41321428571426,996.0
117,House,21103,61,4.0,AZ,200,,,"GOSAR, Paul",G000565,1958.0,,0.6990000000000001,-0.499,-153.58882,0.82976,823.0,73.0,,0.733,-0.53,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,87.60797619047614,996.0
117,House,21105,61,6.0,AZ,200,,,"SCHWEIKERT, David",S001183,1962.0,,0.561,-0.251,-156.61813,0.82935,837.0,70.0,,0.5489999999999999,-0.24100000000000002,Republican,223,0.499,0.10800000000000001,0.5034035874439462,0.06779372197309419,87.45702380952372,996.0
117,House,21502,61,7.0,AZ,100,,,"GALLEGO, Ruben",G000574,1979.0,,-0.418,0.069,-15.96521,0.98108,836.0,8.0,,-0.488,0.33399999999999996,Democrat,232,-0.38299999999999995,-0.03,-0.3799094827586208,-0.0277844827586207,98.61535714285706,996.0
